ticker,pdf_file,page,stratum,decision_class,subtype,note
LEG,LEG-LEGGETT & PLATT INC-2021.pdf,21,representative,prose,prose_multicol,Two flowing prose columns and an independent bullet list have no cross-column row correspondence.
HD,HD-HOME DEPOT INC-2021.pdf,129,representative,ambiguous_or_mixed,chart_infographic,A prose block sits beside a standalone six-step PAC process graphic with no single natural linear order.
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,68,representative,prose,prose_multicol,Two prose columns and self-contained program-stat callouts do not detach label-value pairs.
PVH,PVH-PVH CORP-2022.pdf,92,representative,table_dominant,disclosure_index_table,The large TCFD-to-CDP index maps row disclosures to a separate response column.
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,81,representative,table_dominant,disclosure_index_table,This SASB index maps topics and codes to disclosure and reference fields across rows.
FIVE,FIVE-FIVE BELOW INC-2026.pdf,7,representative,table_dominant,disclosure_index_table,The SASB topic-metric-response grid requires each row's fields to stay aligned.
CASY,CASY-CASEYS GENERAL STORES INC-2023.pdf,54,representative,table_dominant,disclosure_index_table,Each SDG column pairs a shared description and Casey contribution/report-section rows, so column-major order separates row fields.
TDUP,TDUP-THREDUP INC-2021.pdf,2,representative,prose,prose_multicol,A CEO letter uses standard flowing text columns with an adjacent portrait.
WHR,WHR-WHIRLPOOL CORP-2023.pdf,89,representative,table_dominant,disclosure_index_table,The GRI number-name-response index is a row-aligned table.
WSM,WSM-WILLIAMS-SONOMA INC-2022.pdf,46,representative,table_dominant,disclosure_index_table,The SDG, goal, target, initiative, and reference fields form a wide row-structured disclosure index.
MELI,MELI-MERCADOLIBRE-2025.pdf,16,representative,ambiguous_or_mixed,other,Executive profile cards and committee cards are independent boxed content rather than a single linear text flow.
MUSA,MUSA-MURPHY USA INC-2021.pdf,4,representative,prose,prose_multicol,A CEO message is laid out as two conventional flowing prose columns.
TJX,TJX-Tjx Cos Inc-2025.pdf,15,representative,prose,prose_multicol,This is standard two-column narrative prose with section headings.
CAL,CAL-CALERES INC-2023.pdf,51,representative,table_dominant,disclosure_index_table,The TCFD metric and company-response rows form a disclosure index table.
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2022.pdf,57,representative,prose,prose_multicol,Two prose areas and a self-contained progress timeline do not have cross-column row dependencies.
M,M-MACY'S INC-2025.pdf,45,representative,prose,prose_multicol,The page contains two continuous prose columns under product-sourcing headings.
VRA,VRA-VERA BRADLEY INC-2024.pdf,9,representative,table_dominant,data_table_ruled,A ruled SASB disclosure table aligns metric descriptions, units, responses, and codes by row.
WHR,WHR-WHIRLPOOL CORP-2021.pdf,96,representative,prose,prose_multicol,The large left callout and adjacent narrative columns are independent prose content.
KR,KR-KROGER CO-2022.pdf,57,representative,prose,prose_multicol,A narrative column dominates and the adjacent policy-resource table is a minor portion of the page.
HD,HD-HOME DEPOT INC-2021.pdf,52,representative,prose,prose_multicol,Story prose, a bullet timeline, quotation, and photos have no row-level cross-column matching.
MUSA,MUSA-MURPHY USA INC-2022.pdf,17,representative,prose,prose_multicol,Two narrative sections contain self-contained highlighted statistics rather than cross-column table rows.
RL,RL-RALPH LAUREN CORP-2023.pdf,109,representative,table_dominant,disclosure_index_table,A SASB topic-response table aligns each disclosure item with its response.
CRI,CRI-CARTER'S INC-2021.pdf,44,representative,prose,prose_multicol,The page presents short prose and independent bullets beside a photo.
NKE,NKE-NIKE INC -CL B-2024.pdf,37,representative,table_dominant,data_table_ruled,The large emission-factor table aligns source, source type, and factor fields by row.
FL,FL-FOOT LOCKER INC-2021.pdf,45,representative,prose,prose_multicol,Separate narrative columns, bullet lists, and photographs do not constitute a row-aligned table.
WHR,WHR-WHIRLPOOL CORP-2021.pdf,75,representative,prose,prose_multicol,The governance and ethics bullet lists are independent content areas with no shared rows.
XOM,XOM-EXXON MOBIL CORP-2022.pdf,54,representative,prose,prose_multicol,Two standard prose columns and links are accompanied by icons and a photo.
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,96,representative,prose,other,This is a two-page assurance letter reproduced side by side rather than a cross-column table.
PLCE,PLCE-The Childrens Place-2022.pdf,90,representative,table_dominant,disclosure_index_table,The GRI disclosure-number, description, requirement, and language fields are row-aligned.
LAD,LAD-LITHIA MOTORS INC -CL A-2022.pdf,3,representative,prose,prose_multicol,A CEO letter uses flowing text columns alongside a photograph.
ROST,ROST-ROSS STORES INC-2021.pdf,13,representative,prose,prose_multicol,Narrative text columns sit beside a photograph with no table row relationships.
DLTR,DLTR-DOLLAR TREE INC-2023.pdf,29,representative,table_dominant,data_table_ruled,The emissions categories and two yearly value columns are a row-aligned data table.
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf,71,representative,table_dominant,disclosure_index_table,The SDG target and National Vision initiative columns are aligned by row.
RL,RL-RALPH LAUREN CORP-2024.pdf,58,representative,prose,prose_multicol,A self-contained side callout accompanies flowing narrative prose.
BRLT,BRLT-BRILLIANT EARTH GP INC-2022.pdf,55,representative,table_dominant,disclosure_index_table,The GRI standard, disclosure, location, detail, and code columns are row-structured.
DELL,DELL-DELL TECHNOLOGIES INC-2022.pdf,26,representative,table_dominant,data_table_ruled,Goals, measures, yearly values, and performance commentary form a wide data table.
